t,ax,ay,az
0,-2.4000000000000004,-2.4000000000000004,-2.4000000000000004
0.1,70.4,-68.8,59.2
0.2,68.0,-62.400000000000006,52.800000000000004
0.30000000000000004,70.4,-64.0,54.400000000000006
0.4,70.4,-67.2,56.0
0.5,70.4,-69.60000000000001,58.400000000000006
0.6000000000000001,70.4,-70.4,58.400000000000006
0.7000000000000001,70.4,-70.4,58.400000000000006
0.8,70.4,-70.4,57.6
0.9,70.4,-70.4,56.800000000000004
1.0,70.4,-70.4,56.0
1.1,70.4,-67.2,55.2
1.2000000000000002,70.4,-61.6,56.800000000000004
1.3,70.4,-55.2,63.2
1.4000000000000001,70.4,-52.800000000000004,70.4
1.5,70.4,-57.6,70.4
1.6,70.4,-68.0,70.4
1.7000000000000002,70.4,-70.4,60.0
1.8,70.4,-64.8,52.800000000000004
1.9000000000000001,70.4,-51.2,61.6
2.0,70.4,-54.400000000000006,70.4
2.1,68.8,-68.8,62.400000000000006
2.2,70.4,-61.6,48.800000000000004
2.3000000000000003,70.4,-46.400000000000006,60.0
2.4000000000000004,63.2,-56.800000000000004,64.0
2.5,68.0,-60.800000000000004,45.6
2.6,70.4,-42.400000000000006,50.400000000000006
2.7,54.400000000000006,-48.800000000000004,56.0
2.8000000000000003,59.2,-51.2,37.6
2.9000000000000004,58.400000000000006,-35.2,45.6
3.0,44.800000000000004,-46.400000000000006,44.0
3.1,35.2,-26.400000000000002,20.0
3.2,10.4,-10.4,11.200000000000001
3.3000000000000003,-8.8,3.2,-7.2
3.4000000000000004,-19.200000000000003,8.0,-15.200000000000001
3.5,-20.0,13.600000000000001,-18.400000000000002
3.6,-26.400000000000002,13.600000000000001,-18.400000000000002
3.7,-26.400000000000002,16.0,-25.6
3.8000000000000003,-31.200000000000003,21.6,-23.200000000000003
3.9000000000000004,-70.4,70.4,-70.4
4.0,-30.400000000000002,23.200000000000003,-28.0
4.1000000000000005,-33.6,19.200000000000003,-23.200000000000003
4.2,-29.6,16.8,-27.200000000000003
4.3,-27.200000000000003,20.0,-21.6
4.4,-29.6,14.4,-21.6
4.5,-24.0,15.200000000000001,-23.200000000000003
4.6000000000000005,-25.6,16.0,-18.400000000000002
4.7,-25.6,12.0,-20.0
4.800000000000001,-21.6,14.4,-20.0
4.9,-23.200000000000003,13.600000000000001,-16.8
5.0,-22.400000000000002,10.4,-18.400000000000002
5.1000000000000005,-19.200000000000003,12.8,-17.6
5.2,-20.8,12.0,-15.200000000000001
5.300000000000001,-20.0,9.600000000000001,-16.8
5.4,-18.400000000000002,12.0,-16.8
5.5,-20.0,10.4,-14.4
5.6000000000000005,-19.200000000000003,8.8,-16.0
5.7,-16.8,10.4,-16.0
5.800000000000001,-18.400000000000002,10.4,-13.600000000000001
5.9,-18.400000000000002,8.0,-15.200000000000001
6.0,-16.0,9.600000000000001,-16.0
6.1000000000000005,-17.6,9.600000000000001,-13.600000000000001
6.2,-17.6,8.0,-14.4
6.300000000000001,-16.0,8.8,-15.200000000000001
6.4,-16.0,9.600000000000001,-12.8
6.5,-16.8,8.0,-12.8
6.6000000000000005,-16.0,7.2,-14.4
6.7,-15.200000000000001,8.8,-13.600000000000001
6.800000000000001,-16.0,8.0,-12.0
6.9,-16.0,6.4,-13.600000000000001
7.0,-14.4,8.0,-13.600000000000001
7.1000000000000005,-15.200000000000001,8.8,-12.0
7.2,-16.0,7.2,-12.0
7.300000000000001,-14.4,7.2,-13.600000000000001
7.4,-14.4,8.0,-12.0
7.5,-15.200000000000001,7.2,-11.200000000000001
7.6000000000000005,-15.200000000000001,6.4,-12.8
7.7,-13.600000000000001,7.2,-12.8
7.800000000000001,-14.4,8.0,-11.200000000000001
7.9,-15.200000000000001,6.4,-11.200000000000001
8.0,-14.4,6.4,-12.8
8.1,-12.8,7.2,-12.0
8.200000000000001,-13.600000000000001,7.2,-11.200000000000001
8.3,-14.4,6.4,-11.200000000000001
8.4,-13.600000000000001,5.6000000000000005,-12.8
8.5,-12.8,7.2,-12.0
8.6,-13.600000000000001,7.2,-10.4
8.700000000000001,-14.4,5.6000000000000005,-11.200000000000001
8.8,-12.8,5.6000000000000005,-12.0
8.9,-12.8,7.2,-11.200000000000001
9.0,-13.600000000000001,6.4,-10.4
9.1,-13.600000000000001,5.6000000000000005,-11.200000000000001
9.200000000000001,-12.8,5.6000000000000005,-12.0
9.3,-12.0,6.4,-11.200000000000001
9.4,-12.8,6.4,-10.4
9.5,-12.8,5.6000000000000005,-10.4
9.600000000000001,-12.8,5.6000000000000005,-11.200000000000001
9.700000000000001,-12.0,6.4,-11.200000000000001
9.8,-12.0,6.4,-10.4
9.9,-12.8,5.6000000000000005,-9.600000000000001
10.0,-12.0,4.800000000000001,-10.4
10.100000000000001,-11.200000000000001,5.6000000000000005,-11.200000000000001
10.200000000000001,-11.200000000000001,6.4,-10.4
10.3,-12.0,5.6000000000000005,-9.600000000000001
10.4,-12.0,4.800000000000001,-10.4
10.5,-11.200000000000001,4.800000000000001,-10.4
10.600000000000001,-11.200000000000001,5.6000000000000005,-10.4
10.700000000000001,-11.200000000000001,5.6000000000000005,-9.600000000000001
10.8,-12.0,4.800000000000001,-9.600000000000001
10.9,-11.200000000000001,4.800000000000001,-10.4
11.0,-11.200000000000001,4.800000000000001,-10.4
11.100000000000001,-11.200000000000001,5.6000000000000005,-9.600000000000001
11.200000000000001,-11.200000000000001,5.6000000000000005,-9.600000000000001
11.3,-12.0,4.800000000000001,-9.600000000000001
11.4,-11.200000000000001,4.800000000000001,-10.4
11.5,-10.4,4.800000000000001,-10.4
11.600000000000001,-10.4,5.6000000000000005,-9.600000000000001
11.700000000000001,-11.200000000000001,4.800000000000001,-8.8
11.8,-11.200000000000001,4.800000000000001,-9.600000000000001
11.9,-10.4,4.0,-9.600000000000001
12.0,-10.4,4.800000000000001,-9.600000000000001
12.100000000000001,-10.4,4.800000000000001,-9.600000000000001
12.200000000000001,-10.4,4.800000000000001,-8.8
12.3,-11.200000000000001,4.800000000000001,-8.8
12.4,-10.4,4.0,-9.600000000000001
12.5,-10.4,4.800000000000001,-9.600000000000001
12.600000000000001,-9.600000000000001,4.800000000000001,-9.600000000000001
12.700000000000001,-10.4,4.800000000000001,-8.8
12.8,-10.4,4.800000000000001,-8.8
12.9,-10.4,4.0,-8.8
13.0,-10.4,4.0,-9.600000000000001
13.100000000000001,-9.600000000000001,4.800000000000001,-9.600000000000001
13.200000000000001,-9.600000000000001,4.800000000000001,-8.8
13.3,-10.4,4.800000000000001,-8.8
13.4,-10.4,4.0,-8.8
13.5,-10.4,4.0,-8.8
13.600000000000001,-9.600000000000001,4.0,-9.600000000000001
13.700000000000001,-9.600000000000001,4.0,-8.8
13.8,-9.600000000000001,4.800000000000001,-8.8
13.9,-9.600000000000001,4.800000000000001,-8.8
14.0,-10.4,4.0,-8.8
14.100000000000001,-9.600000000000001,4.0,-8.8
14.200000000000001,-9.600000000000001,4.0,-8.8
14.3,-9.600000000000001,4.800000000000001,-8.8
14.4,-9.600000000000001,4.800000000000001,-8.8
14.5,-9.600000000000001,4.0,-8.0
14.600000000000001,-9.600000000000001,4.0,-8.8
14.700000000000001,-9.600000000000001,4.0,-8.8
14.8,-8.8,4.0,-8.8
14.9,-8.8,4.0,-8.8
15.0,-8.8,4.0,-8.8
15.100000000000001,-9.600000000000001,4.0,-8.8
15.200000000000001,-9.600000000000001,4.0,-8.8
15.3,-9.600000000000001,4.0,-8.0
15.4,-8.8,4.0,-8.8
15.5,-8.8,4.0,-8.8
15.600000000000001,-8.8,4.0,-8.8
15.700000000000001,-8.8,4.0,-8.0
15.8,-8.8,4.0,-8.0
15.9,-8.8,4.0,-8.0
16.0,-9.600000000000001,3.2,-8.8
16.1,-8.8,3.2,-8.8
16.2,-8.8,4.0,-8.8
